Source,Category,Date Range,Geo,Question Seed,Question Query,Indexed Searches within Question Seed,Rising,Is question
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what caused coronavirus,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what does coronavirus do,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is the coronavirus symptoms,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what does coronavirus mean,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where is coronavirus,85,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where is the coronavirus,51,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where coronavirus come from,38,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did coronavirus come from,28,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did the coronavirus,27,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where the coronavirus come from,16,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did coronavirus originate,14,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did the coronavirus come from,13,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where coronavirus in usa,11,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did coronavirus start,11,,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where is coronavirus,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where is the coronavirus,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where coronavirus come from,,Breakout,Yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,where,where did coronavirus come from,,Breakout,Yes
